kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
9757640,1.04,0.12,0.13,1.73,0.08,0.08,0.2006,0.0081,0.0079,3.978,0.018000000000000002,0.018000000000000002,8.6,2.6,1.9,Chaplin et al. (2014)
9762786,1.39,0.16,0.18,1.96,0.11,0.11,0.1833,0.0126,0.0119,3.992,0.017,0.017,3.3,1.6,1.0,Chaplin et al. (2014)
9768011,1.25,0.18,0.17,1.97,0.13,0.12,0.1631,0.0144,0.0143,3.944,0.027000000000000003,0.027000000000000003,4.6,1.4,1.6,Chaplin et al. (2014)
9778067,1.38,0.17,0.11,2.16,0.1,0.08,0.1387,0.0075,0.0076,3.9130000000000003,0.017,0.018000000000000002,3.7,0.8,1.1,Chaplin et al. (2014)
9787965,1.31,0.16,0.13,2.05,0.11,0.1,0.1532,0.011,0.0106,3.9339999999999997,0.021,0.021,4.3,0.9,1.2,Chaplin et al. (2014)
9788260,1.53,0.12,0.15,3.23,0.11,0.13,0.0456,0.0019,0.0019,3.603,0.012,0.013000000000000001,3.0,0.8,0.6,Chaplin et al. (2014)
9791157,1.35,0.11,0.16,2.03,0.07,0.08,0.1595,0.0061,0.0059,3.948,0.013999999999999999,0.019,4.1,1.2,0.7,Chaplin et al. (2014)
9812421,1.29,0.24,0.18,3.15,0.25,0.2,0.0413,0.0025,0.0026,3.551,0.012,0.013000000000000001,4.6,1.6,1.7,Chaplin et al. (2014)
9821513,1.43,0.14,0.1,1.92,0.07,0.06,0.2034,0.0079,0.0075,4.029,0.015,0.016,3.0,0.6,0.9,Chaplin et al. (2014)
9880787,1.23,0.13,0.13,2.07,0.08,0.09,0.1396,0.005,0.005,3.8960000000000004,0.018000000000000002,0.015,5.2,1.0,0.9,Chaplin et al. (2014)
9893470,1.56,0.15,0.14,3.34,0.11,0.12,0.042,0.0017,0.0017,3.5839999999999996,0.017,0.016,2.7,0.7,0.6,Chaplin et al. (2014)
9903271,1.12,0.09,0.09,3.25,0.1,0.1,0.0325,0.0006,0.0006,3.4610000000000003,0.009000000000000001,0.01,7.9,2.7,1.8,Chaplin et al. (2014)
9962623,0.93,0.16,0.12,1.37,0.08,0.07,0.3575,0.0218,0.0218,4.129,0.026000000000000002,0.024,12.2,4.3,4.6,Chaplin et al. (2014)
10003270,1.59,0.16,0.16,2.48,0.09,0.11,0.1048,0.005,0.0048,3.85,0.019,0.017,2.5,0.9,0.8,Chaplin et al. (2014)
10019747,1.04,0.13,0.11,1.63,0.09,0.07,0.2385,0.0103,0.01,4.029,0.017,0.013999999999999999,9.2,2.7,2.5,Chaplin et al. (2014)
10024648,1.39,0.14,0.09,2.01,0.06,0.06,0.1744,0.005,0.0047,3.9819999999999998,0.013000000000000001,0.013000000000000001,3.5,0.7,0.8,Chaplin et al. (2014)
10025841,1.18,0.1,0.21,1.56,0.06,0.09,0.3063,0.0134,0.0126,4.115,0.019,0.026000000000000002,5.5,3.8,1.4,Chaplin et al. (2014)
10070754,1.23,0.11,0.12,1.28,0.05,0.05,0.5812,0.0268,0.0263,4.31,0.016,0.018000000000000002,1.6,1.7,1.2,Chaplin et al. (2014)
10074716,1.1,0.12,0.16,1.43,0.07,0.08,0.3741,0.0186,0.0182,4.164,0.02,0.022000000000000002,6.3,3.7,2.1,Chaplin et al. (2014)
10079226,1.13,0.1,0.11,1.15,0.04,0.04,0.7478,0.0242,0.0235,4.371,0.013999999999999999,0.015,2.7,2.5,1.9,Chaplin et al. (2014)
10081026,1.44,0.13,0.14,2.39,0.09,0.09,0.1049,0.0057,0.0056,3.8369999999999997,0.019,0.02,3.4,0.8,0.7,Chaplin et al. (2014)
10088136,1.25,0.33,0.25,3.35,0.37,0.32,0.0333,0.003,0.0029,3.483,0.015,0.015,5.0,3.8,2.4,Chaplin et al. (2014)
10118942,1.33,0.12,0.15,2.26,0.08,0.1,0.1149,0.0048,0.0045,3.85,0.019,0.016,4.3,0.9,0.9,Chaplin et al. (2014)
10130724,0.82,0.12,0.08,1.07,0.05,0.04,0.6818,0.0211,0.0205,4.301,0.018000000000000002,0.016,13.8,5.2,6.4,Chaplin et al. (2014)
10130853,1.21,0.15,0.19,3.73,0.21,0.28,0.0234,0.0015,0.0013,3.377,0.011000000000000001,0.011000000000000001,6.1,4.1,1.6,Chaplin et al. (2014)
10147635,1.52,0.25,0.16,2.73,0.14,0.11,0.0757,0.0023,0.0022,3.752,0.02,0.016,3.2,0.7,1.2,Chaplin et al. (2014)
10186764,1.24,0.13,0.14,1.7,0.06,0.07,0.2535,0.0104,0.0101,4.071000000000001,0.016,0.017,4.6,1.5,1.3,Chaplin et al. (2014)
10202294,1.33,0.09,0.23,1.94,0.06,0.11,0.179,0.0061,0.0062,3.975,0.017,0.025,4.4,2.6,0.6,Chaplin et al. (2014)
10214328,1.49,0.15,0.13,1.92,0.07,0.07,0.2111,0.0114,0.011,4.045,0.019,0.02,2.5,0.7,0.8,Chaplin et al. (2014)
10215584,0.91,0.17,0.1,1.09,0.06,0.05,0.7069,0.0416,0.04,4.3260000000000005,0.025,0.024,9.8,4.4,5.0,Chaplin et al. (2014)
10272858,1.32,0.28,0.19,3.56,0.32,0.24,0.0292,0.002,0.0021,3.4539999999999997,0.01,0.01,4.5,1.7,1.9,Chaplin et al. (2014)
10272923,1.19,0.12,0.12,2.85,0.12,0.13,0.0514,0.0018,0.0017,3.603,0.01,0.011000000000000001,6.0,2.4,1.1,Chaplin et al. (2014)
10290021,1.38,0.13,0.15,2.04,0.07,0.08,0.1612,0.0048,0.0047,3.955,0.013999999999999999,0.018000000000000002,3.9,1.1,0.8,Chaplin et al. (2014)
10295224,1.38,0.15,0.15,2.59,0.11,0.11,0.08,0.0056,0.0055,3.753,0.025,0.025,3.8,0.9,0.8,Chaplin et al. (2014)
10319352,0.94,0.13,0.13,1.43,0.08,0.07,0.3243,0.0236,0.0222,4.102,0.027999999999999997,0.026000000000000002,11.4,4.2,3.8,Chaplin et al. (2014)
10322381,1.2,0.14,0.17,1.44,0.08,0.08,0.401,0.0346,0.0338,4.197,0.026000000000000002,0.027000000000000003,3.6,2.5,1.4,Chaplin et al. (2014)
10324098,1.39,0.18,0.1,2.18,0.09,0.07,0.1355,0.0055,0.0052,3.909,0.016,0.016,3.7,0.8,1.1,Chaplin et al. (2014)
10351059,1.41,0.16,0.09,1.81,0.06,0.05,0.2391,0.0083,0.0077,4.075,0.016,0.013999999999999999,2.8,0.6,0.9,Chaplin et al. (2014)
10385708,1.21,0.15,0.17,1.76,0.07,0.09,0.2209,0.0077,0.0073,4.0280000000000005,0.018000000000000002,0.025,4.9,2.4,1.0,Chaplin et al. (2014)
